agentId,community_id
10830,1
2639,1
10833,1
2644,1
10844,1
14940,1
6752,1
2660,1
19048,1
6761,1
14953,1
10860,1
19053,1
2670,1
10863,1
6768,1
6771,1
2677,1
6774,1
23159,1
6777,1
6781,1
10881,1
14980,1
23175,1
10890,1
10891,1
2700,1
2701,1
2709,1
19098,1
2716,1
19103,1
23200,1
23205,1
23206,1
2727,1
2733,1
10926,1
6838,1
2743,1
10941,1
19137,1
15042,1
2761,1
23246,1
2768,1
2770,1
15058,1
19156,1
19159,1
15072,1
6892,1
23280,1
6898,1
2814,1
2816,1
2824,1
11016,1
6922,1
2830,1
15118,1
2840,1
15132,1
2852,1
2855,1
2861,1
2865,1
19249,1
11059,1
2869,1
6965,1
2872,1
2873,1
2874,1
2877,1
2878,1
2879,1
11071,1
2881,1
2882,1
2884,1
6983,1
2888,1
15175,1
15180,1
2892,1
2893,1
2894,1
2895,1
19281,1
2896,1
15187,1
2897,1
2898,1
2900,1
2901,1
2902,1
2903,1
2904,1
2905,1
2906,1
23384,1
2912,1
2916,1
15205,1
2918,1
15206,1
15211,1
23376,1
2927,1
23377,1
2931,1
2936,1
2939,1
2940,1
19324,1
23420,1
2943,1
11135,1
2946,1
7044,1
2951,1
2953,1
2960,1
2963,1
11156,1
2971,1
19357,1
11167,1
2977,1
15272,1
2986,1
15276,1
2991,1
2996,1
15292,1
3005,1
3008,1
7104,1
11207,1
3018,1
15306,1
23499,1
23500,1
23501,1
23502,1
7120,1
3025,1
23503,1
23504,1
3028,1
23506,1
3030,1
23509,1
23510,1
23511,1
23512,1
3035,1
23513,1
23514,1
23515,1
